date,time,value
12.04.20,06:45:00,61.66975507
12.04.20,06:50:00,62.71816896
12.04.20,06:55:00,63.78189011
12.04.20,07:00:00,66.24822795
12.04.20,07:05:00,69.05721014
12.04.20,07:10:00,70.27758323
12.04.20,07:15:00,71.1959084
12.04.20,07:20:00,71.32480083
12.04.20,07:25:00,73.20232335
12.04.20,07:30:00,74.32155319
12.04.20,07:35:00,77.05034715
12.04.20,07:40:00,78.0685868
12.04.20,07:45:00,80.8958058
12.04.20,07:50:00,82.41596764
12.04.20,07:55:00,85.31986151
12.04.20,08:00:00,90.27989151
12.04.20,08:05:00,92.83721348
12.04.20,08:10:00,94.27945083
12.04.20,08:15:00,98.10885479
12.04.20,08:20:00,99.93927682
12.04.20,08:25:00,102.0027474
12.04.20,08:30:00,103.9500167
12.04.20,08:35:00,105.6459216
12.04.20,08:40:00,107.8582957
12.04.20,08:45:00,108.7665837
12.04.20,08:50:00,110.322455
12.04.20,08:55:00,112.4689129
12.04.20,09:00:00,116.0144615
12.04.20,09:05:00,120.0360812
12.04.20,09:10:00,123.8038864
12.04.20,09:15:00,124.2973992
12.04.20,09:20:00,127.4177028
12.04.20,09:25:00,128.4942516
12.04.20,09:30:00,130.5695984
12.04.20,09:35:00,132.0366048
12.04.20,09:40:00,132.8914597
12.04.20,09:45:00,132.7648398
12.04.20,09:50:00,134.8094563
12.04.20,09:55:00,137.0576835
12.04.20,10:00:00,139.4046675
12.04.20,10:05:00,143.8638085
12.04.20,10:10:00,145.7793024
12.04.20,10:15:00,147.0908381
12.04.20,10:20:00,148.2420632
12.04.20,10:25:00,149.3223055
12.04.20,10:30:00,148.9151589
12.04.20,10:35:00,151.1012225
12.04.20,10:40:00,153.6355927
12.04.20,10:45:00,153.0275726
12.04.20,10:50:00,154.4705993
12.04.20,10:55:00,156.7854962
12.04.20,11:00:00,156.5886066
12.04.20,11:05:00,158.0044381
12.04.20,11:10:00,158.3878852
12.04.20,11:15:00,159.2694433
12.04.20,11:20:00,159.8720267
12.04.20,11:25:00,158.924739
12.04.20,11:30:00,158.257573
12.04.20,11:35:00,158.8724632
12.04.20,11:40:00,158.4492591
12.04.20,11:45:00,156.9411887
12.04.20,11:50:00,158.1766755
12.04.20,11:55:00,163.5704663
12.04.20,12:00:00,166.0996071
12.04.20,12:05:00,165.7420581
12.04.20,12:10:00,165.4623281
12.04.20,12:15:00,161.0036452
12.04.20,12:20:00,160.6152691
12.04.20,12:25:00,158.5254672
12.04.20,12:30:00,162.6591391
12.04.20,12:35:00,160.995228
12.04.20,12:40:00,158.5542052
12.04.20,12:45:00,160.2852475
12.04.20,12:50:00,159.5759942
12.04.20,12:55:00,160.4227539
12.04.20,13:00:00,159.1874207
12.04.20,13:05:00,160.967599
12.04.20,13:10:00,160.2436243
12.04.20,13:15:00,159.3451357
12.04.20,13:20:00,160.13727
12.04.20,13:25:00,160.8851117
12.04.20,13:30:00,159.8222671
12.04.20,13:35:00,158.24749
12.04.20,13:40:00,158.4144493
12.04.20,13:45:00,159.1409376
12.04.20,13:50:00,158.5492707
